id,name,category,num_beds,address,suburb,state,postcode,longitude,latitude,comment,website
0,Double Bay Day Hospital,Hospital,,"Level 2, 451 New South Head Road",DOUBLE BAY,NSW,2028,151.243927,-33.87765503,,https://dbdh.com.au/
1,Canterbury Hospital,Hospital,217,575 Canterbury Road,CAMPSIE,NSW,2194,151.0986786,-33.91941452,"Canterbury Hospital is a metropolitan hospital with 217 beds, with a catchment covering all the Inner West. Canterbury Hospital is part of Sydney Local Health District. Services we provide: Heart, Dental, Gastroenterology, General Medicine, Maternity, Orthopaedics, Palliative Care, Respiratory.",http://www.slhd.nsw.gov.au/
2,Cudal Health Service,Hospital,,23 Toogong Street,CUDAL,NSW,2864,148.7434998,-33.28575134,"This service is strictly available on Tuesday and Thursday mornings only.  Cudal Health Service provides emergency, acute care, general medicine and community services. CUDAL HEALTH SERVICE ONLY HAS COMMUNITY HEALTH SERVICES NO BEDS EXIST AT CUDAL",http://www.wnswlhd.health.nsw.gov.au/
3,Sydney Surgical Centre - Randwick,Hospital,,166-168 Belmore Road,RANDWICK,NSW,2031,151.2407837,-33.9169426,,
4,Tumut District Hospital,Hospital,34,107 Simpson Street,TUMUT,NSW,2720,148.2201386,-35.30669022,"Tumut Health Service includes a 34 bed hospital which provides emergency care as well as other various services. Tumut District Hospital is part of Murrumbidgee Local Health District. Services we provide: General Medicine, General Surgery, Maternity, Respiratory.",http://www.mlhd.health.nsw.gov.au/
5,Braeside Hospital,Hospital,72,340 Prairie Vale Road,PRAIRIEWOOD,NSW,2176,150.901535,-33.86234665,"Braeside Hospital is a 72 bed public hospital that provides inpatient, outpatient and community services. Our specialised health and community services for the residents of south western Sydney include rehabilitation, palliative care and older persons' mental health.",http://www.hammond.com.au/
6,Balranald Multi Purpose Service,Hospital,24,41 Court Street,BALRANALD,NSW,2715,143.5694275,-34.64510727,"Balranald Multi Purpose Service. This is a public hospital. Information on the Multi-Purpose Service (MPS) Program: The Multi-Purpose Service (MPS) Program is a joint initiative of the Australian Government and state/territory governments, which aims to deliver flexible and integrated health and aged care services for small rural and remote communities. A MPS is generally established when the local population is not large enough to support separate services, such as a hospital, a residential aged care service, home and community care services and where there is poor access to essential health and aged care services. Australian Government funding for flexible aged care is combined with state and territory Government health services funding. The MPS applies this combined funding flexibly across health and aged care services to offer more service choices specific to the needs of the local community and to be innovative in service delivery",
7,Junee District Hospital,Hospital,38,67 Broadway Street,JUNEE,NSW,2663,147.5791168,-34.86499405,"Junee District Hospital employs over 50 nurses who provide acute, aged and community care to residents in the local shire. Junee District Hospital is part of Murrumbidgee Local Health District. Services we provide: Heart, Drug & Alcohol, Gastroenterology, General Medicine, General Surgery, Neurology, Palliative Care, Respiratory.",http://www.mlhd.health.nsw.gov.au/
8,Concord Repatriation General Hospital,Hospital,750,Hospital Road,CONCORD REPATRIATION HOSPITAL,NSW,2139,151.0926666,-33.8372879,"Concord Repatriation General Hospital has a well-earned reputation for excellence in healthcare; building on its proud heritage of caring for the Veteran community, the hospital now services the local communities of Concord, Strathfield, Burwood and beyond. As a 750 - bed teaching hospital of the University of Sydney, Concord offers a comprehensive range of specialty and sub-specialty services. Concord Repatriation General Hospital is part Sydney Local Health District. Services we provide: Cancer, Drug & Alcohol, General Medicine, Kidney Medicine, Neurology, Ophthalmology, Respiratory, Urology",http://www.slhd.nsw.gov.au/
9,Finley Health Service,Hospital,14.4,"Finley Hospital, 24 Dawe Avenue",FINLEY,NSW,2713,145.5681305,-35.64175034,"Finley Health Service is an integrated health service. The Hospital maintains a 24 hour emergency department. The Community Health Centre provides a range of primary health services, focussing on maintaining good health.",
10,Manning Base Hospital,Hospital,188.4,26 York Street,TAREE,NSW,2430,152.4546967,-31.91079903,"Manning Hospital is an acute hospital providing a broad range of specialist services to the residents of Greater Taree, Great Lakes and Gloucester local government areas.  Manning Rural Referral Hospital (Taree) is part of Hunter New England Local Health District. Services we provide: Heart, Gastroenterology, General Medicine, General Surgery, Kidney Medicine, Maternity, Ophthalmology, Orthopaedics,  Critical Care, Obstetrics, Paediatrics, Emergency services, Oncology, Palliative Care, Rehabilitation, Acute Renal Dialysis, high dependency and Mental health.  Visiting Hours: Visiting hours are 10:00am to 1:00pm and 3:00pm to 8:00pm. Specialty areas such as Maternity and Intensive Care vary.  Hospital personnel: Tricia Bulic General Manager 02 6592 9355  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",www.hnehealth.nsw.gov.au
11,John Hunter Hospital,Hospital,850.5,2 Lookout Road,NEW LAMBTON HEIGHTS,NSW,2305,151.693161,-32.92291641,"John Hunter Hospital houses one of three designated children's hospitals in NSW, providing care for those aged from birth (sometimes from 23 weeks gestation) to 18 years throughout the Hunter New England Health region and other parts of northern New South Wales.   John Hunter Hospital (including Royal Newcastle Centre and John Hunter Children's Hospital) is part of ^Hunter New England Local Health District.|| http://www.hnehealth.nsw.gov.au//^   Services we provide: General Medicine, General Surgery, Kidney Medicine, Maternity, Neurology, Orthopaedics, Neonatal Intensive Care Unit, General Paediatrics.  Visiting Hours: Visiting hours in maternity wards are 3pm-8pm. Some wards are closed to visitors during the 1pm-3pm rest period.  Wards: Parents/guardians are allowed any time. Visitors between 10:00am-1:00pm and 3:00pm-7:00pm. Children's rest time between 1:00pm-3:00pm Neonatal Intensive Care Unit: Parents/guardians are allowed any time. Visitors admitted at the discretion of families and staff. Babies rest time between 1:00pm-3:00pm.  Admin Hours  8:30am to 4:30pm Monday to Friday  Hospital personnel: Todd McEwan Health Service Manager 02 4321 3000  For information on the latest performance reporting on Elective Surgery, Emergency Departments and Patient Ratings of Care click ^here.||http://www.bhi.nsw.gov.au^ For information on healthcare associated infections by hospital click ^here.||http://www.myhospitals.gov.au^",www.hnehealth.nsw.gov.au
