id,postcode,locality,longitude,latitude
458,1001,SYDNEY,151.268071,-33.794883
459,1002,SYDNEY,151.268071,-33.794883
460,1003,SYDNEY,151.268071,-33.794883
461,1004,SYDNEY,151.268071,-33.794883
462,1005,SYDNEY,151.268071,-33.794883
463,1006,SYDNEY,151.268071,-33.794883
464,1007,SYDNEY,151.268071,-33.794883
465,1008,SYDNEY,151.268071,-33.794883
466,1009,SYDNEY,151.268071,-33.794883
467,1010,SYDNEY,151.268071,-33.794883
468,1020,SYDNEY,151.268071,-33.794883
469,1021,SYDNEY,151.268071,-33.794883
470,1022,SYDNEY,151.268071,-33.794883
471,1023,SYDNEY,151.268071,-33.794883
472,1025,SYDNEY,151.268071,-33.794883
473,1026,SYDNEY,151.268071,-33.794883
474,1027,SYDNEY,151.268071,-33.794883
475,1028,SYDNEY,151.268071,-33.794883
476,1029,SYDNEY,151.268071,-33.794883
477,1030,SYDNEY,151.268071,-33.794883
478,1031,SYDNEY,151.268071,-33.794883
479,1032,SYDNEY,150.874182,-33.662834
480,1033,SYDNEY,151.268071,-33.794883
481,1034,SYDNEY,151.268071,-33.794883
482,1035,SYDNEY,151.268071,-33.794883
483,1036,SYDNEY,151.268071,-33.794883
484,1037,SYDNEY,151.268071,-33.794883
485,1038,SYDNEY,151.268071,-33.794883
486,1039,SYDNEY,151.268071,-33.794883
487,1040,SYDNEY,151.268071,-33.794883
488,1041,SYDNEY,151.268071,-33.794883
489,1042,SYDNEY,151.268071,-33.794883
490,1043,SYDNEY,151.268071,-33.794883
491,1044,SYDNEY,151.268071,-33.794883
492,1045,SYDNEY,151.268071,-33.794883
493,1046,SYDNEY,151.268071,-33.794883
494,1100,SYDNEY,151.268071,-33.794883
495,1101,SYDNEY,151.268071,-33.794883
496,1105,SYDNEY,151.268071,-33.794883
497,1106,SYDNEY,151.268071,-33.794883
498,1107,SYDNEY,151.268071,-33.794883
499,1108,SYDNEY,151.268071,-33.794883
500,1109,SYDNEY,151.268071,-33.794883
501,1110,SYDNEY,151.268071,-33.794883
502,1112,SYDNEY,151.268071,-33.794883
503,1113,SYDNEY,151.268071,-33.794883
504,1114,SYDNEY,151.268071,-33.794883
505,1115,SYDNEY,151.268071,-33.794883
506,1116,SYDNEY,150.866145,-33.666729
507,1117,SYDNEY,150.87022,-33.664575
508,1118,SYDNEY,151.268071,-33.794883
509,1119,SYDNEY,151.268071,-33.794883
510,1120,SYDNEY,151.268071,-33.794883
511,1121,SYDNEY,151.268071,-33.794883
512,1122,SYDNEY,151.268071,-33.794883
513,1123,SYDNEY,151.268071,-33.794883
514,1124,SYDNEY,151.268071,-33.794883
515,1125,SYDNEY,151.268071,-33.794883
516,1126,SYDNEY,151.268071,-33.794883
517,1127,SYDNEY,151.268071,-33.794883
518,1128,SYDNEY,151.268071,-33.794883
519,1129,SYDNEY,151.268071,-33.794883
520,1130,SYDNEY,151.268071,-33.794883
521,1131,SYDNEY,151.268071,-33.794883
522,1132,SYDNEY,150.874265,-33.66279
523,1133,SYDNEY,151.268071,-33.794883
524,1134,SYDNEY,151.268071,-33.794883
525,1135,SYDNEY,151.268071,-33.794883
526,1136,SYDNEY,151.268071,-33.794883
527,1137,SYDNEY,151.268071,-33.794883
528,1138,SYDNEY,151.268071,-33.794883
529,1139,SYDNEY,151.268071,-33.794883
530,1140,SYDNEY,151.268071,-33.794883
531,1141,SYDNEY,151.268071,-33.794883
532,1142,SYDNEY,151.268071,-33.794883
533,1143,SYDNEY,151.268071,-33.794883
534,1144,SYDNEY,151.268071,-33.794883
535,1145,SYDNEY,151.268071,-33.794883
536,1146,SYDNEY,151.268071,-33.794883
537,1147,SYDNEY,151.268071,-33.794883
538,1148,SYDNEY,151.268071,-33.794883
539,1149,SYDNEY,151.268071,-33.794883
540,1150,SYDNEY,151.268071,-33.794883
541,1151,SYDNEY,151.268071,-33.794883
542,1152,SYDNEY,151.268071,-33.794883
543,1153,SYDNEY,151.268071,-33.794883
544,1154,SYDNEY,151.268071,-33.794883
545,1155,SYDNEY,151.268071,-33.794883
546,1156,SYDNEY,151.268071,-33.794883
547,1157,SYDNEY,151.268071,-33.794883
548,1158,SYDNEY,151.268071,-33.794883
549,1159,SYDNEY,151.268071,-33.794883
550,1160,SYDNEY,151.268071,-33.794883
551,1161,SYDNEY,151.268071,-33.794883
552,1162,SYDNEY,151.268071,-33.794883
553,1163,SYDNEY,151.268071,-33.794883
554,1164,SYDNEY,151.268071,-33.794883
555,1165,SYDNEY,151.268071,-33.794883
556,1166,SYDNEY,151.268071,-33.794883
557,1167,SYDNEY,151.268071,-33.794883
558,1168,SYDNEY,151.268071,-33.794883
559,1169,SYDNEY,151.268071,-33.794883
560,1170,SYDNEY,151.268071,-33.794883
561,1171,SYDNEY,151.268071,-33.794883
562,1172,SYDNEY,151.268071,-33.794883
563,1173,SYDNEY,151.268071,-33.794883
564,1174,SYDNEY,151.268071,-33.794883
565,1175,SYDNEY,151.268071,-33.794883
566,1176,SYDNEY,151.268071,-33.794883
567,1177,SYDNEY,151.268071,-33.794883
568,1178,SYDNEY,151.268071,-33.794883
569,1179,SYDNEY,151.268071,-33.794883
570,1180,SYDNEY,151.268071,-33.794883
571,1181,SYDNEY,151.268071,-33.794883
572,1182,SYDNEY,151.268071,-33.794883
573,1183,SYDNEY,151.268071,-33.794883
574,1184,SYDNEY,151.268071,-33.794883
575,1185,SYDNEY,151.268071,-33.794883
576,1186,SYDNEY,151.268071,-33.794883
577,1187,SYDNEY,151.268071,-33.794883
578,1188,SYDNEY,151.268071,-33.794883
579,1189,SYDNEY,151.268071,-33.794883
580,1190,SYDNEY,151.268071,-33.794883
581,1191,SYDNEY,151.268071,-33.794883
582,1192,SYDNEY,147.685283,-34.790684
583,1193,SYDNEY,151.268071,-33.794883
584,1194,SYDNEY,151.268071,-33.794883
585,1195,SYDNEY,151.268071,-33.794883
586,1196,SYDNEY,151.268071,-33.794883
587,1197,SYDNEY,151.268071,-33.794883
588,1198,SYDNEY,151.268071,-33.794883
589,1199,SYDNEY,151.268071,-33.794883
591,1201,SYDNEY,151.268071,-33.794883
592,1202,SYDNEY,151.268071,-33.794883
593,1203,SYDNEY,151.268071,-33.794883
595,1205,SYDNEY,151.268071,-33.794883
597,1207,SYDNEY,151.268071,-33.794883
598,1208,HAYMARKET,151.659454,-29.816475
599,1209,AUSTRALIA SQUARE,151.176251,-33.891788
600,1210,AUSTRALIA SQUARE,151.176251,-33.891788
601,1211,AUSTRALIA SQUARE,151.176251,-33.891788
602,1212,AUSTRALIA SQUARE,151.176251,-33.891788
603,1213,AUSTRALIA SQUARE,151.176251,-33.891788
604,1214,AUSTRALIA SQUARE,151.176251,-33.891788
605,1215,AUSTRALIA SQUARE,151.176251,-33.891788
606,1216,GROSVENOR PLACE,151.034025,-33.741311
607,1217,GROSVENOR PLACE,151.034025,-33.741311
608,1218,GROSVENOR PLACE,151.034025,-33.741311
609,1219,GROSVENOR PLACE,151.034025,-33.741311
610,1220,GROSVENOR PLACE,151.034025,-33.741311
611,1221,ROYAL EXCHANGE,151.207905,-33.86533
612,1222,ROYAL EXCHANGE,151.207905,-33.86533
613,1223,ROYAL EXCHANGE,151.207905,-33.86533
614,1224,ROYAL EXCHANGE,151.207905,-33.86533
615,1225,ROYAL EXCHANGE,151.207905,-33.86533
616,1226,QUEEN VICTORIA BUILDING,151.206708,-33.871749
617,1227,QUEEN VICTORIA BUILDING,151.206708,-33.871749
618,1228,QUEEN VICTORIA BUILDING,151.206708,-33.871749
619,1229,QUEEN VICTORIA BUILDING,151.206708,-33.871749
620,1230,QUEEN VICTORIA BUILDING,151.206708,-33.871749
621,1231,SYDNEY SOUTH,151.042528,-33.815551
622,1232,SYDNEY SOUTH,151.042528,-33.815551
623,1233,SYDNEY SOUTH,151.042528,-33.815551
624,1234,SYDNEY SOUTH,151.042528,-33.815551
625,1235,SYDNEY SOUTH,151.042528,-33.815551
626,1236,HAYMARKET,151.659454,-29.816475
627,1237,HAYMARKET,151.659454,-29.816475
628,1238,HAYMARKET,151.659454,-29.816475
629,1239,HAYMARKET,151.659454,-29.816475
630,1240,HAYMARKET,151.659454,-29.816475
631,1291,SYDNEY,151.268071,-33.794883
632,1292,SYDNEY,151.268071,-33.794883
633,1293,SYDNEY,151.268071,-33.794883
634,1294,SYDNEY,151.268071,-33.794883
635,1295,SYDNEY,151.268071,-33.794883
636,1296,SYDNEY,151.268071,-33.794883
