area_id,area_name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85_and_over,total_persons,females,males
101021007,Braidwood,225,245,212,196,120,129,188,179,279,283,294,389,316,335,250,160,71,74,3945,1945,2000
101021008,Karabar,569,598,562,602,584,589,589,558,599,635,589,581,487,396,273,216,101,87,8615,4355,4260
101021009,Queanbeyan,804,537,413,453,842,1240,1135,843,757,715,703,601,529,487,341,281,242,312,11235,5589,5646
101021010,Queanbeyan - East,386,270,203,240,386,530,514,356,315,365,352,345,249,191,143,102,55,47,5049,2455,2594
101021011,Queanbeyan Region,1126,1326,1300,1187,868,936,939,1105,1364,1512,1426,1309,1108,905,522,286,126,90,17435,8555,8880
101021012,Queanbeyan West - Jerrabomberra,919,1089,1075,1049,802,744,851,868,1111,1272,1134,786,546,395,224,179,83,66,13193,6608,6585
101031013,Bombala,143,151,123,123,115,114,129,113,122,152,181,194,190,205,130,82,63,95,2425,1186,1239
101031014,Cooma,351,402,367,421,373,410,404,356,422,455,492,487,408,434,344,280,240,244,6890,3403,3487
101031015,Cooma Region,141,224,215,215,111,105,138,142,219,274,269,286,280,252,220,132,68,43,3334,1624,1710
101031016,Jindabyne - Berridale,333,483,484,402,518,558,442,453,557,552,538,504,401,355,222,129,96,64,7091,3285,3806
101041017,Batemans Bay,390,475,430,360,313,352,360,337,416,428,460,586,666,733,560,406,272,298,7842,3993,3849
101041018,Batemans Bay - South,383,440,451,436,319,307,332,358,465,469,554,646,729,850,698,490,314,329,8570,4445,4125
101041019,Bega - Tathra,501,576,549,513,393,371,450,433,477,556,625,727,622,533,447,354,237,243,8607,4414,4193
101041020,Bega-Eden Hinterland,408,533,598,558,279,294,365,347,483,671,824,953,958,758,426,254,148,104,8961,4452,4509
101041021,Broulee - Tomakin,130,188,199,168,132,101,130,152,177,188,225,283,272,276,208,190,140,158,3317,1692,1625
101041022,Deua - Wadbilliga,0,0,1,0,0,2,0,2,0,0,6,1,0,3,0,0,1,11,27,14,13
101041023,Eden,177,162,172,164,141,143,154,144,180,181,219,272,270,283,218,160,112,129,3281,1660,1621
101041024,Eurobodalla Hinterland,132,161,204,213,145,119,119,148,188,242,326,335,319,326,206,93,57,33,3366,1652,1714
101041025,Merimbula - Tura Beach,429,556,556,504,429,401,434,455,538,663,722,891,923,1042,804,623,431,434,10835,5630,5205
101041026,Moruya - Tuross Head,310,406,413,438,280,274,321,307,445,467,610,755,813,753,601,420,278,205,8096,4061,4035
101041027,Narooma - Bermagui,374,423,414,355,270,309,304,348,381,480,562,844,1056,1033,769,504,340,405,9171,4656,4515
102011028,Avoca Beach - Copacabana,467,583,604,560,379,340,345,467,555,609,589,534,472,395,270,204,87,86,7546,3728,3818
102011029,Box Head - MacMasters Beach,586,696,661,692,498,422,441,522,725,747,757,862,790,920,659,455,267,256,10956,5569,5387
102011030,Calga - Kulnura,220,254,304,320,243,244,228,223,331,412,419,403,334,322,259,135,95,65,4811,2283,2528
102011031,Erina - Green Point,695,778,916,838,670,627,588,626,845,909,906,962,878,903,840,707,655,897,14240,7541,6699
102011032,Gosford - Springfield,1200,1079,963,977,1291,1585,1445,1218,1268,1153,1353,1231,1142,990,759,602,446,582,19284,9849,9435
102011033,Kariong,472,502,497,591,502,357,420,471,498,499,488,411,271,192,145,113,78,52,6559,3207,3352
102011034,Kincumber - Picketts Valley,404,458,448,416,375,365,335,369,439,440,426,460,400,417,446,401,344,486,7429,3973,3456
102011035,Narara,463,470,448,459,456,470,392,421,490,471,490,510,392,353,230,142,86,86,6829,3471,3358
102011036,Niagara Park - Lisarow,525,605,617,606,502,450,450,507,561,619,609,573,468,392,256,171,124,167,8202,4123,4079
102011037,Point Clare - Koolewong,371,412,373,343,278,337,345,357,465,452,461,456,347,355,358,269,182,168,6329,3245,3084
102011038,Saratoga - Davistown,498,479,442,419,362,374,395,434,449,459,473,468,427,433,358,277,200,195,7142,3666,3476
102011039,Terrigal - North Avoca,816,860,828,873,853,887,800,812,916,953,928,992,944,868,677,416,283,203,13909,7040,6869
102011040,Umina - Booker Bay - Patonga,1410,1405,1218,1221,1252,1168,1333,1322,1528,1515,1546,1580,1595,1695,1512,1026,784,927,24037,12441,11596
102011041,Wamberal - Forresters Beach,691,803,730,655,547,473,601,608,742,727,671,648,599,560,415,295,195,186,10146,5094,5052
102011042,Woy Woy - Blackwall,784,759,681,737,749,714,740,806,851,909,937,1000,938,959,848,638,492,639,14181,7367,6814
102011043,Wyoming,721,764,675,724,687,677,744,694,668,675,690,692,654,646,561,427,359,599,11657,6045,5612
102021044,Bateau Bay - Killarney Vale,1490,1528,1321,1345,1265,1254,1423,1350,1339,1333,1370,1435,1316,1262,988,786,669,938,22412,11721,10691
102021045,Blue Haven - San Remo,900,939,879,912,846,738,706,674,753,770,654,601,527,475,366,280,163,122,11305,5792,5513
102021046,Budgewoi - Buff Point - Halekulani,590,570,541,509,536,517,535,506,528,580,629,680,624,619,571,481,277,277,9570,4819,4751
102021047,Chittaway Bay - Tumbi Umbi,993,1133,1046,1050,975,916,926,896,1011,1057,1082,1071,915,775,614,468,356,430,15714,8048,7666
102021048,Gorokan - Kanwal - Charmhaven,1328,1390,1422,1401,1505,1339,1226,1163,1272,1414,1401,1421,1359,1305,1060,925,694,864,22489,11580,10909
102021049,Jilliby - Yarramalong,198,207,259,292,187,148,162,196,263,301,298,289,230,186,109,81,33,35,3474,1732,1742
102021050,Lake Munmorah - Mannering Park,583,619,587,612,617,549,543,502,533,640,694,720,705,841,870,681,420,268,10984,5610,5374
102021051,Ourimbah - Fountaindale,286,373,368,341,366,319,289,266,332,370,387,365,311,235,173,100,52,61,4994,2491,2503
102021052,Summerland Point - Gwandalan,324,368,390,355,340,279,308,294,393,378,400,396,377,465,338,217,137,85,5844,2882,2962
102021053,The Entrance,870,846,760,769,855,903,900,842,949,933,1048,999,1013,1074,866,646,483,481,15237,7839,7398
102021054,Toukley - Norah Head,586,530,459,479,577,537,535,495,527,569,586,695,678,722,596,509,406,480,9966,5075,4891
102021055,Tuggerah - Kangy Angy,394,386,384,384,329,383,347,347,386,381,325,315,284,237,222,178,102,85,5469,2775,2694
102021056,Warnervale - Wadalba,1192,1411,1339,1161,872,780,1017,1111,1240,1026,889,717,656,641,566,437,256,262,15573,7989,7584
102021057,Wyong,590,592,605,582,621,603,502,517,566,613,616,586,487,529,407,271,174,160,9021,4580,4441
103011058,Bathurst,1537,1549,1467,1778,2412,1975,1589,1379,1421,1443,1416,1413,1306,1148,911,699,519,579,24541,12323,12218
103011059,Bathurst - East,926,979,959,892,667,695,697,669,769,741,625,643,572,542,383,277,217,219,11472,5775,5697
103011060,Bathurst Region,327,434,513,496,326,246,330,344,490,580,612,573,502,516,382,174,102,70,7017,3287,3730
103011061,Oberon,287,291,259,308,311,268,213,241,249,315,306,306,346,391,294,156,109,103,4753,2265,2488
103021062,Condobolin,561,507,449,353,397,380,443,333,367,348,434,457,422,394,307,269,197,185,6803,3378,3425
103021063,Cowra,572,581,561,569,527,457,444,438,504,550,604,606,643,636,481,437,313,377,9300,4787,4513
103021064,Cowra Region,269,362,381,313,242,201,223,258,327,386,440,425,415,447,336,255,131,131,5542,2711,2831
103021065,Forbes,696,728,720,679,545,592,525,510,554,620,717,650,645,654,529,435,325,270,10394,5156,5238
103021066,Grenfell,196,227,201,187,121,143,149,201,189,215,264,283,292,322,249,187,112,142,3680,1835,1845
103021067,Parkes (NSW),820,860,731,810,696,659,702,607,629,668,695,698,627,538,478,393,316,331,11258,5806,5452
103021068,Parkes Region,186,237,232,226,165,118,141,163,177,233,274,293,279,246,182,123,83,77,3435,1667,1768
103021069,West Wyalong,370,470,417,351,282,300,329,330,364,323,382,462,388,354,254,240,183,205,6004,3000,3004
103031070,Lithgow,824,755,676,746,807,875,755,633,806,760,855,932,782,831,725,561,388,384,13095,6446,6649
103031071,Lithgow Region,452,526,538,475,380,406,372,440,520,587,703,682,656,638,489,257,154,145,8420,4124,4296
103031072,Mudgee,1037,926,748,677,685,825,886,741,724,788,738,696,551,512,504,394,286,292,12010,6119,5891
103031073,Mudgee Region - East,184,167,205,177,124,132,141,162,194,257,271,268,286,301,289,173,87,85,3503,1710,1793
103031074,Mudgee Region - West,674,773,677,587,463,480,495,523,625,762,820,804,716,790,596,374,227,158,10544,5110,5434
103031075,Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,Blayney,488,563,537,467,348,406,355,414,479,519,524,530,475,410,336,251,167,161,7430,3725,3705
103041077,Orange,1305,1256,1096,1284,1180,1286,1233,1105,1056,1189,1180,1214,1124,1061,873,742,612,661,19457,10126,9331
103041078,Orange - North,1803,1747,1429,1299,1236,1504,1538,1361,1491,1272,1136,1101,919,848,628,439,312,235,20298,10291,10007
103041079,Orange Region,812,927,922,877,486,482,610,623,808,815,851,849,708,778,501,327,233,197,11806,5823,5983
104011080,Grafton,1205,1285,1177,1194,1046,1121,1013,1028,1099,1071,1209,1279,1140,1140,958,783,624,703,19075,9747,9328
104011081,Grafton Region,738,952,930,972,635,577,552,668,912,1058,1354,1481,1432,1283,876,482,307,237,15446,7533,7913
104011082,Maclean - Yamba - Iluka,704,837,813,850,523,559,596,646,877,913,1083,1307,1497,1609,1306,991,678,651,16440,8350,8090
104021083,Bellingen,369,487,439,354,177,231,258,317,426,409,436,496,480,383,266,170,117,121,5936,3108,2828
104021084,Coffs Harbour - North,1099,1169,1107,1099,1078,1135,1034,925,1065,1094,1108,1218,1086,1161,860,684,482,498,17902,9296,8606
104021085,Coffs Harbour - South,557,574,563,609,689,630,610,537,590,599,615,664,649,608,556,548,389,548,10535,5625,4910
104021086,Coramba - Nana Glen - Bucca,229,275,279,259,180,150,210,200,284,313,311,324,281,240,146,106,48,27,3862,1906,1956
104021087,Dorrigo,156,200,172,189,112,122,123,139,159,197,263,354,293,256,209,144,90,75,3253,1631,1622
104021088,Korora - Emerald Beach,603,664,622,497,359,424,479,542,633,653,670,702,678,593,400,263,116,112,9010,4584,4426
